target,annotation,species,status,activity,clone,protein,genePage,uniprot,class,superkingdom,targetRole,batch,community,maxCode,ligandCode,ligandScreenStatus
EnhiA.00917.a,26s protease regulatory subunit,Entamoeba histolytica,soluble,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00917.a,C4M846,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,5,-1,
EnhiA.00917.b,"26S protease regulatory subunit 7, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00917.b,B1N4Q6,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00920.a,"26s proteasome subunit P45 family protein, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00920.a,C4LY36,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00245.a,"40S ribosomal protein S16, putative",Entamoeba histolytica,soluble,work stopped,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00245.a,B1N316,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,5,-2,work stopped
EnhiA.00245.b,"40S ribosomal protein S16, putative",Entamoeba histolytica,soluble,work stopped,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00245.b,C4LZP6,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,5,-2,work stopped
EnhiA.00245.c,"40S ribosomal protein S16, putative",Entamoeba histolytica,selected,work stopped,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00245.c,C4M2R7,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,1,-2,work stopped
EnhiA.00689.a,"ABC transporter, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00689.a,C4M8M2,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01170.a,"acetyltransferase, GNAT family",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01170.a,Q5U8N0,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01520.a,"acetyltransferase, GNAT family",Entamoeba histolytica,purified,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01520.a,C4M6K7,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,6,-1,
EnhiA.00308.a,"acetyltransferase, putative",Entamoeba histolytica,expressed,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00308.a,B1N487,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,4,-1,
EnhiA.00796.a,"actin 2 protein, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00796.a,B1N5D1,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01404.a,"actin, putative",Entamoeba histolytica,cloned,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01404.a,B1N2P0,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01404.b,"actin, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01404.b,B1N621,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01595.a,"actin, putative",Entamoeba histolytica,soluble,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01595.a,B1N4H1,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,5,-1,
EnhiA.00517.a,"ADP ribosylation factor family GTPase, putative",Entamoeba histolytica,purified,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00517.a,Q1EQ60,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,6,-1,
EnhiA.00794.a,"ADP ribosylation factor, putative",Entamoeba histolytica,expressed,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00794.a,C4LXK8,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,4,-1,
EnhiA.00407.a,"ADP-ribosylation factor, putative",Entamoeba histolytica,purified,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00407.a,Q1EQ57,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,6,-1,
EnhiA.00732.a,"ADP-ribosylation factor, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00732.a,Q1EQ61,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00335.a,"alcohol dehydrogenase, putative",Entamoeba histolytica,purified,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00335.a,B1N5J0,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,6,-1,
EnhiA.00335.d,"alcohol dehydrogenase, putative",Entamoeba histolytica,purified,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00335.d,B1N503,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,6,-1,
EnhiA.00968.a,"aldose 1-epimerase, putative",Entamoeba histolytica,soluble,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00968.a,Q5MAR2,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,5,-1,
EnhiA.00335.b,"aldose reductase, putative",Entamoeba histolytica,soluble,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00335.b,C4M8C2,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,5,-1,
EnhiA.00419.a,"apyrase, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00419.a,C4LZ68,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01290.a,"apyrase, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01290.a,C4M9M8,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00719.a,"Arginase, putative",Entamoeba histolytica,purified,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00719.a,C4LSS0,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,6,-1,
EnhiA.00883.a,"aspartate--ammonia ligase, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00883.a,C4LT17,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01462.a,calcium binding family protein,Entamoeba histolytica,purified,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01462.a,C4LY16,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,6,-1,
EnhiA.00230.a,"calmodulin, putative",Entamoeba histolytica,expressed,work stopped,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00230.a,C4LUS0,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,4,-1,
EnhiA.00464.a,"calmodulin, putative",Entamoeba histolytica,soluble,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00464.a,C4LUQ9,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,5,-1,
EnhiA.00885.a,"calmodulin, putative",Entamoeba histolytica,purified,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00885.a,C4M0U8,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,6,-1,
EnhiA.01051.a,"casein kinase, putative",Entamoeba histolytica,soluble,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01051.a,C4LTQ1,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,5,-1,
EnhiA.01096.a,"casein kinase, putative",Entamoeba histolytica,soluble,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01096.a,C4LUE1,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,5,-1,
EnhiA.01403.a,"casein kinase, putative",Entamoeba histolytica,purified,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01403.a,C4M0F3,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,6,-1,
EnhiA.01309.a,"cell cycle-associated GTPase, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01309.a,C4M1V0,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00237.a,"cysteine desulfurase, putative",Entamoeba histolytica,purified,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00237.a,Q769I7,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,6,-1,
EnhiA.00851.a,"cysteine protease, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00851.a,B1N4K4,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00186.a,"cysteine proteinase, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00186.a,C4LSI6,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00235.a,"cysteine proteinase, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00235.a,Q8I8D8,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01577.a,"DEAD/DEAH box helicase, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01577.a,C4M9V7,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00933.a,"deoxyhypusine synthase, putative",Entamoeba histolytica,crystallized,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00933.a,C4LXB8,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,8,-1,
EnhiA.01205.a,"deoxyribose-phosphate aldolase, putative",Entamoeba histolytica,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01205.a,C4M5C6,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,20,-1,
EnhiA.00378.a,"deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial precursor, putative",Entamoeba histolytica,expressed,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00378.a,B1N592,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,4,-1,
EnhiA.01020.a,"DNA repair protein RAD51, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01020.a,C4M4K4,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00412.a,D-phosphoglycerate dehydrogenase,Entamoeba histolytica,soluble,work stopped,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00412.a,B1N5E3,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,5,-1,
EnhiA.00199.a,"dual specificity protein phosphatase, putative",Entamoeba histolytica,selected,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00199.a,C4LU68,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,1,-1,
EnhiA.00450.a,"dual specificity protein phosphatase, putative",Entamoeba histolytica,purified,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00450.a,C4M341,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,6,-1,
EnhiA.00480.a,"dual specificity protein phosphatase, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00480.a,C4M3B6,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00425.b,elongation factor 1-alpha 1,Entamoeba histolytica,soluble,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00425.b,C4MAC9,Entamoebidae,Eukaryota,Potential drug target,Batch_03,interest,5,-1,
EnhiA.00579.a,"endoribonuclease L-PSP, putative",Entamoeba histolytica,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00579.a,C4LXT9,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,20,5,Target selected for ligand screening
EnhiA.00380.a,"eukaryotic translation initiation factor 4E, putative",Entamoeba histolytica,purified,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00380.a,C4M651,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,6,-1,
EnhiA.01416.a,"fructose-1,6-bisphosphate aldolase, putative",Entamoeba histolytica,crystallized,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01416.a,C4LXD7,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,8,-1,
EnhiA.01118.a,Grainin 1,Entamoeba histolytica,cloned,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01118.a,C4MAF9,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00653.a,Grainin 2,Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00653.a,B1N3T3,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00691.a,GTP-binding protein,Entamoeba histolytica,soluble,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00691.a,B1N4P1,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,5,-1,
EnhiA.00691.b,GTP-binding protein,Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00691.b,C4M4L8,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01283.a,"HAD hydrolase, family IA, variant 3",Entamoeba histolytica,native diffraction-data,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01283.a,C4LXK0,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,12,-1,
EnhiA.00745.a,"heat shock protein 101, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00745.a,B1N5P1,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01387.a,"heat shock protein 101, putative",Entamoeba histolytica,soluble,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01387.a,B1N5T5,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,5,-1,
EnhiA.00373.a,"heat shock protein 70, putative",Entamoeba histolytica,expressed,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00373.a,B1N5R9,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,4,-1,
EnhiA.01274.b,"heat shock protein 70, putative",Entamoeba histolytica,cloned,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01274.b,C4M8D4,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01052.a,"heat shock protein70, mitochondrial, putative",Entamoeba histolytica,cloned,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01052.a,B1N5P9,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01151.a,"heat shock transcription factor, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01151.a,C4LYF6,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00795.a,hexokinase,Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00795.a,Q27648,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00795.b,hexokinase,Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00795.b,Q27647,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00467.a,hypothetical protein EHI_097060,Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00467.a,B1N596,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00275.a,"hypothetical protein, conserved",Entamoeba histolytica,soluble,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00275.a,C4M2U6,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,5,-1,
EnhiA.00331.a,"hypothetical protein, conserved",Entamoeba histolytica,soluble,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00331.a,C4M1M4,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,5,-1,
EnhiA.00582.a,"hypothetical protein, conserved",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00582.a,C4MBB8,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00733.a,"L-asparaginase 1, putative",Entamoeba histolytica,soluble,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00733.a,B1N429,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,5,-1,
EnhiA.01221.a,"L-asparaginase, putative",Entamoeba histolytica,expressed,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01221.a,C4LTU4,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,4,-1,
EnhiA.01575.a,"L-asparaginase, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01575.a,C4LUV6,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01228.a,"Malate dehydrogenase, putative",Entamoeba histolytica,in PDB,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01228.a,C4M213,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,20,-1,
EnhiA.00351.a,"Meiotic recombination protein DMC1, putative",Entamoeba histolytica,soluble,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00351.a,C4LTR6,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,5,-1,
EnhiA.00210.a,"NMN adenylyltransferase, putative",Entamoeba histolytica,purified,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00210.a,B1N570,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,6,-1,
EnhiA.00956.a,nuclear LIM interactor-interacting factor 3,Entamoeba histolytica,soluble,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00956.a,C4LWZ2,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,5,-1,
EnhiA.00823.a,"nucleoside diphosphate kinase, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00823.a,C4LZ47,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00766.a,p21-activated kinase,Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00766.a,Q5FZP2,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00892.a,"P-glycoprotein 5, putative",Entamoeba histolytica,expressed,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00892.a,B1N522,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,4,-1,
EnhiA.01372.a,"phenylalanyl-tRNA synthetase alpha subunit, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01372.a,C4M538,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01266.a,phosphoglycerate mutase family protein,Entamoeba histolytica,expressed,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01266.a,C4M5P9,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,4,-1,
EnhiA.00206.a,"phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase, putative",Entamoeba histolytica,expressed,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00206.a,C4M1T0,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,4,-1,
EnhiA.00409.a,"proteasome beta subunit, putative",Entamoeba histolytica,crystallized,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00409.a,C4LSX4,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,8,-1,
EnhiA.01480.a,"protein kinase 2, putative",Entamoeba histolytica,selected,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01480.a,Q26334,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,1,-1,
EnhiA.00188.a,protein kinase domain containing protein,Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00188.a,C4LZQ1,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00214.a,protein kinase domain containing protein,Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00214.a,C4LU01,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01567.a,protein kinase domain containing protein,Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01567.a,C4LX01,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01611.a,protein kinase domain containing protein,Entamoeba histolytica,expressed,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01611.a,B1N4X2,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,4,-1,
EnhiA.00251.a,"protein kinase, putative",Entamoeba histolytica,soluble,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00251.a,C4M1H4,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,5,-1,
EnhiA.00255.a,"protein kinase, putative",Entamoeba histolytica,cloned,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00255.a,C4M3C4,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01400.a,"protein kinase, putative",Entamoeba histolytica,soluble,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01400.a,C4LXL3,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,5,-1,
EnhiA.01489.a,"protein kinase, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01489.a,C4LSU1,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01510.a,"protein kinase, putative",Entamoeba histolytica,crystallized,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01510.a,B1N2G7,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,8,-1,
EnhiA.01515.a,"protein kinase, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01515.a,C4LT85,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01467.a,"purine nucleoside phosphorylase, putative",Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01467.a,C4LXG1,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01045.a,"pyridoxal kinase, putative",Entamoeba histolytica,expressed,work stopped,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01045.a,C4LVZ4,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,4,-1,
EnhiA.01040.a,"pyruvate, phosphate dikinase, putative",Entamoeba histolytica,expressed,active,Available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01040.a,B1N2H5,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,4,-1,
EnhiA.00259.a,Rab B GTPase,Entamoeba histolytica,purified,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00259.a,Q9NDI3,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,6,-1,
EnhiA.00543.a,Rab family GTPase,Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00543.a,Q5NT40,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00618.a,Rab family GTPase,Entamoeba histolytica,purified,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00618.a,Q6AW65,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,6,-1,
EnhiA.00622.a,Rab family GTPase,Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00622.a,Q5NT00,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00639.a,Rab family GTPase,Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00639.a,Q5NSY1,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01060.b,Rab family GTPase,Entamoeba histolytica,crystallized,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01060.b,C4M535,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,8,-1,
EnhiA.01364.a,Rab family GTPase,Entamoeba histolytica,purified,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01364.a,Q5NSZ1,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,6,-1,
EnhiA.01380.a,Rab family GTPase,Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01380.a,Q6AW62,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.01430.a,Rab family GTPase,Entamoeba histolytica,crystallized,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01430.a,Q6AW59,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,8,-1,
EnhiA.01445.a,Rab family GTPase,Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.01445.a,Q5NT41,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00807.a,Ran family GTPase,Entamoeba histolytica,cloned,active,Not available,Not available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00807.a,C4LSY9,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,2,-1,
EnhiA.00982.a,Rap GTPase,Entamoeba histolytica,purified,active,Available,Available,https://apps.sbri.org/SSGCIDTargetStatus/Target/EnhiA.00982.a,Q769I8,Entamoebidae,Eukaryota,Potential drug target,Batch_03,,6,-1,
